ID_Venda,Produto,Filial,Data_Venda,Quantidade,Preço_Unitario,Desconto (%),Total_Venda,Ano_Mês
1,Produto D,Filial Oeste,2025-02-13,16,65.98356061338944,12.384780641071632,924.986261956042,2025-02
2,Produto E,Filial Oeste,2025-02-18,10,99.31980604373013,6.642195666162492,927.2279019105248,2025-02
3,Produto C,Filial Oeste,2025-03-16,13,44.769085576881935,18.56203671019573,473.9674092046682,2025-03
4,Produto E,Filial Oeste,2025-03-02,6,61.6457128694062,16.897246549792655,307.3757086709123,2025-03
5,Produto E,Filial Oeste,2025-03-08,12,47.40435063166019,4.479650917301623,543.3696144449779,2025-03
6,Produto B,Filial Norte,2025-01-06,9,86.25445009496734,4.782850908690463,739.161255103328,2025-01
7,Produto C,Filial Oeste,2025-01-09,13,91.20127631160145,10.246006937741612,1064.138233774276,2025-01
8,Produto C,Filial Norte,2025-01-06,4,88.9620050984734,15.471442034614409,300.7932001873295,2025-01
9,Produto C,Filial Oeste,2025-03-14,11,97.69350148113318,0.8808075877692878,1065.1631067806286,2025-03
10,Produto E,Filial Leste,2025-02-01,18,12.476726662637375,13.866703074694133,193.43908841198865,2025-02
11,Produto D,Filial Sul,2025-02-10,11,85.58345459309778,12.96471794764194,819.365812047799,2025-02
12,Produto C,Filial Norte,2025-03-17,4,77.6594955735184,4.629601918259764,296.25668030694374,2025-03
13,Produto E,Filial Oeste,2025-01-08,18,30.582496846032832,13.627060264826977,475.47002826603233,2025-01
14,Produto B,Filial Leste,2025-03-13,1,96.06880840487749,18.803663825041653,78.00435263170095,2025-03
15,Produto D,Filial Sul,2025-02-19,7,23.33601354069509,0.9357168994353704,161.823581628382,2025-02
16,Produto B,Filial Norte,2025-03-03,6,71.15949344205175,6.393041105841251,399.6614266535578,2025-03
17,Produto D,Filial Sul,2025-03-25,15,30.240119513432123,8.763534333327105,413.85024386150025,2025-03
18,Produto E,Filial Leste,2025-03-03,18,48.82425838966672,17.98520717849379,720.7760585685965,2025-03
19,Produto A,Filial Norte,2025-01-07,11,74.7243907250112,19.24522893218313,663.7786172798416,2025-01
20,Produto D,Filial Sul,2025-03-16,15,60.6992177829742,8.882304929926645,829.6159225411526,2025-03
21,Produto B,Filial Oeste,2025-03-25,16,48.47516481953005,15.000568242843825,659.2578342391267,2025-03
22,Produto E,Filial Norte,2025-03-21,7,39.370458783878846,10.63322047528966,246.2887776947917,2025-03
23,Produto D,Filial Sul,2025-01-04,10,85.56936901379113,10.755658694827533,763.6581973535025,2025-01
24,Produto A,Filial Leste,2025-01-06,12,22.943291528333237,5.561990301327128,260.0062545446656,2025-01
25,Produto A,Filial Leste,2025-02-27,14,48.709258887682005,4.339124917277591,652.3398461757149,2025-02
26,Produto C,Filial Norte,2025-01-22,5,91.3381814597628,5.760106918480823,430.3850227514221,2025-01
27,Produto C,Filial Sul,2025-01-26,18,86.1264595413971,11.126560145141584,1377.783849953565,2025-01
28,Produto B,Filial Norte,2025-01-03,5,46.0847586225742,0.5831037204417799,229.0801834024468,2025-01
29,Produto D,Filial Norte,2025-02-10,3,78.67975272411775,18.144978887128115,193.20998461164592,2025-02
30,Produto D,Filial Sul,2025-03-01,5,84.08447476379733,3.1256741909955243,407.2813401873559,2025-03
31,Produto C,Filial Sul,2025-01-14,17,89.99986816032667,4.401773537427731,1462.6507222587347,2025-01
32,Produto D,Filial Oeste,2025-03-16,19,59.00551921443052,10.365523528952927,1004.89647650068,2025-03
33,Produto D,Filial Sul,2025-03-23,19,28.40147974492406,14.202295326745586,462.98853657329823,2025-03
34,Produto A,Filial Leste,2025-01-12,12,32.977816885353846,1.914581094887946,388.1571580531212,2025-01
35,Produto C,Filial Norte,2025-03-28,9,36.61252066374438,6.353893950943244,308.57579935202585,2025-03
36,Produto E,Filial Norte,2025-01-12,1,63.4422232728654,19.373492111487145,51.15124915174476,2025-01
37,Produto C,Filial Leste,2025-01-13,18,12.95286617157476,5.246859335618915,220.9184550651828,2025-01
38,Produto E,Filial Sul,2025-01-25,4,67.24382219019714,6.261002901262938,252.1347381277952,2025-01
39,Produto A,Filial Leste,2025-02-14,10,42.79188145854088,16.72996981236067,356.32812608385825,2025-02
40,Produto B,Filial Leste,2025-01-19,7,36.5717622240678,1.004288633809105,253.4313332100745,2025-01
41,Produto D,Filial Oeste,2025-02-24,1,89.15469136553138,9.292263376179417,80.87020263162631,2025-02
42,Produto A,Filial Leste,2025-02-14,17,51.4002156022719,7.592335289033405,807.461561205843,2025-02
43,Produto D,Filial Norte,2025-01-08,2,18.55477409794235,6.331735198173023,34.75986987088288,2025-01
44,Produto B,Filial Leste,2025-02-22,11,84.40720912236223,5.713991880895291,875.4260685084217,2025-02
45,Produto B,Filial Norte,2025-02-24,9,14.287713169285594,1.827482097208184,126.239469921148,2025-02
46,Produto A,Filial Norte,2025-02-01,7,75.4074301751377,6.2965165870329765,494.61572178413394,2025-02
47,Produto B,Filial Norte,2025-02-20,17,79.65155995935986,0.8610480543133714,1342.4172697856925,2025-02
48,Produto E,Filial Sul,2025-02-13,17,41.73423453359723,15.619277272888706,598.6660283093091,2025-02
49,Produto B,Filial Oeste,2025-03-23,2,84.2309070650008,7.964555879160233,155.0445788085706,2025-03
50,Produto D,Filial Norte,2025-03-11,6,56.40934652708081,8.878076646398231,308.4076890400452,2025-03
51,Produto D,Filial Norte,2025-01-18,14,51.696428794551714,17.87189172900263,594.4021861767989,2025-01
52,Produto D,Filial Sul,2025-03-24,6,14.08629533218233,13.161099677224415,73.39430377611362,2025-03
53,Produto D,Filial Norte,2025-01-22,2,36.10262742840153,0.1611820668423957,72.08887293465605,2025-01
54,Produto E,Filial Leste,2025-02-06,1,93.79089737967698,18.8634964592257,76.0986547733856,2025-02
55,Produto C,Filial Leste,2025-02-25,10,45.264156695515,4.742889319554225,431.1732784201713,2025-02
56,Produto A,Filial Oeste,2025-02-28,5,59.203046850109146,2.152283695197177,289.6441466284715,2025-02
57,Produto D,Filial Norte,2025-01-03,2,57.88195110858266,15.362563567617643,97.97959915069856,2025-01
58,Produto B,Filial Sul,2025-01-28,16,63.1387980840424,10.009546317334364,909.1022535297913,2025-01
59,Produto D,Filial Leste,2025-03-15,2,15.519786007895435,8.67541132036035,28.346761471341548,2025-03
60,Produto B,Filial Sul,2025-02-04,10,42.59586293188555,4.990061593654835,404.70303135235673,2025-02
61,Produto B,Filial Sul,2025-03-02,2,75.08154464942987,10.949429797246372,133.7210872547047,2025-03
62,Produto D,Filial Leste,2025-02-23,16,28.050422596568463,5.4876921040517495,424.1776283293349,2025-02
63,Produto E,Filial Sul,2025-03-04,16,28.32205397917244,18.031660105741352,371.4418795309355,2025-03
64,Produto B,Filial Leste,2025-03-20,19,10.908154602012225,4.304089594663855,198.33449924152623,2025-03
65,Produto B,Filial Sul,2025-01-07,7,49.37337339473888,17.68710300911507,284.48457788335475,2025-01
66,Produto D,Filial Leste,2025-03-17,12,89.44609426060798,11.18810851454714,953.2652180724843,2025-03
67,Produto B,Filial Norte,2025-02-18,15,14.671084922857812,16.56976267790482,183.601814532996,2025-02
68,Produto B,Filial Oeste,2025-03-26,8,27.20068385464024,14.2569199172191,186.58163312438583,2025-03
69,Produto D,Filial Leste,2025-01-31,6,37.90760845084796,13.933902228734972,195.7535961123308,2025-01
70,Produto D,Filial Leste,2025-02-27,10,75.85522629077916,6.486916153901115,709.3456136294436,2025-02
71,Produto A,Filial Oeste,2025-03-02,3,67.65720335223278,4.6779386294440695,193.47672270305148,2025-03
